                                     | Core 0     | Core 1      | Core 2     | Core 3    
  Instructions                       |   99421924 |  1096375399 |   25092792 |          0
  Cycles                             |  679317600 |   679317600 |  679317600 |  679317600
  IPC                                |       0.15 |        1.61 |       0.04 |       0.00
  Time (ns)                          |  169829400 |   169829400 |  169829400 |  169829400
  Idle time (ns)                     |  157566362 |    15186944 |  166962156 |  169829400
  Idle time (%)                      |      92.8% |        8.9% |      98.3% |     100.0%
Branch predictor stats               |            |             |            |           
  num correct                        |    5477942 |    96626089 |    1567301 |          0
  num incorrect                      |     126524 |     1731105 |       8018 |          0
  misprediction rate                 |      2.26% |       1.76% |      0.51% |      0.00%
  mpki                               |       1.27 |        1.58 |       0.32 |       0.00
TLB Summary                          |            |             |            |           
  I-TLB                              |            |             |            |           
    num accesses                     |   11050826 |    91587810 |    2793033 |          0
    num misses                       |        537 |          75 |         85 |          0
    miss rate                        |      0.00% |       0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |        0.00 |       0.00 |       0.00
  D-TLB                              |            |             |            |           
    num accesses                     |   25398950 |   256854266 |    7844052 |          0
    num misses                       |      10303 |     1070950 |       2333 |          0
    miss rate                        |      0.04% |       0.42% |      0.03% |      0.00%
    mpki                             |       0.10 |        0.98 |       0.09 |       0.00
  L2 TLB                             |            |             |            |           
    num accesses                     |      10840 |     1071025 |       2418 |          0
    num misses                       |       3011 |       49484 |        939 |          0
    miss rate                        |     27.78% |       4.62% |     38.83% |      0.00%
    mpki                             |       0.03 |        0.05 |       0.04 |       0.00
Cache Summary                        |            |             |            |           
  Cache L1-I                         |            |             |            |           
    num cache accesses               |   11050826 |    91587810 |    2793033 |          0
    num cache misses                 |      18959 |     1817343 |       5263 |          0
    miss rate                        |      0.17% |       1.98% |      0.19% |       inf%
    mpki                             |       0.19 |        1.66 |       0.21 |        inf
  Cache L1-D                         |            |             |            |           
    num cache accesses               |   25398950 |   256854266 |    7844052 |          0
    num cache misses                 |     375748 |     9005711 |     140038 |          0
    miss rate                        |      1.48% |       3.51% |      1.79% |       inf%
    mpki                             |       3.78 |        8.21 |       5.58 |        inf
  Cache L2                           |            |             |            |           
    num cache accesses               |     409118 |    10823111 |     145309 |          0
    num cache misses                 |     365315 |      861251 |     124143 |          0
    miss rate                        |     89.29% |       7.96% |     85.43% |       inf%
    mpki                             |       3.67 |        0.79 |       4.95 |        inf
  Cache L3                           |            |             |            |           
    num cache accesses               |     380492 |      861308 |     124151 |          0
    num cache misses                 |      58298 |       29846 |      44439 |          0
    miss rate                        |     15.32% |       3.47% |     35.79% |       inf%
    mpki                             |       0.59 |        0.03 |       1.77 |        inf
DRAM summary                         |            |             |            |           
  num dram accesses                  |     133544 |           0 |          0 |          0
  average dram access latency (ns)   |   14240.16 |         inf |        inf |        inf
  average dram queueing delay        |   14186.73 |        0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |       0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |             |            |           
  num loads from dram                |      28244 |        4949 |       6259 |          0
  num loads from dram cache          |          0 |           0 |          0 |          0
  num loads from remote cache        |          0 |           0 |          0 |          0
