CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.57       0.80       0.00       0.00
depend                 0.12       0.00       0.00       0.00
depend-int             0.00       0.07       0.00       0.00
depend-fp              0.00       0.33       0.00       0.00
branch                 0.48       0.18       0.00       0.00
mem-l1d                0.11       0.05       0.00       0.00
sync-futex             8.02       0.00       0.00       0.00
sync-unscheduled        0.00       0.20       0.00       0.00
imbalance-end          0.00       0.05   468097900.48   468097900.48
other                  0.08       0.04    8000.00    8000.00

total                  9.39       1.72   468105900.48   468105900.48
