                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49851131 |   90707774 |   90733981 |   90731834
  Cycles                             |  203313200 |  203313200 |  203313200 |  203313200
  IPC                                |       0.25 |       0.45 |       0.45 |       0.45
  Time (ns)                          |   50828300 |   50828300 |   50828300 |   50828300
  Idle time (ns)                     |   33965009 |   17464219 |   18456709 |   18318415
  Idle time (%)                      |      66.8% |      34.4% |      36.3% |      36.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    8258724 |    5175040 |    5193879 |    5186637
  num incorrect                      |     530924 |     149620 |     131719 |     137867
  misprediction rate                 |      6.04% |      2.81% |      2.47% |      2.59%
  mpki                               |      10.65 |       1.65 |       1.45 |       1.52
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7573199 |   10137463 |   10140942 |   10144318
    num misses                       |        124 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17196429 |   26678848 |   26684009 |   26682681
    num misses                       |        471 |         75 |         94 |         78
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        595 |        100 |        119 |        103
    num misses                       |        301 |         92 |         93 |         96
    miss rate                        |     50.59% |     92.00% |     78.15% |     93.20%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7573199 |   10137463 |   10140942 |   10144318
    num cache misses                 |       2449 |        153 |        152 |        151
    miss rate                        |      0.03% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.05 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17196429 |   26678848 |   26684009 |   26682681
    num cache misses                 |      11035 |      81893 |      83382 |      81082
    miss rate                        |      0.06% |      0.31% |      0.31% |      0.30%
    mpki                             |       0.22 |       0.90 |       0.92 |       0.89
  Cache L2                           |            |            |            |           
    num cache accesses               |      13576 |      82052 |      83534 |      81233
    num cache misses                 |      10308 |       1284 |       1401 |       1274
    miss rate                        |     75.93% |      1.56% |      1.68% |      1.57%
    mpki                             |       0.21 |       0.01 |       0.02 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |      10403 |       1290 |       1401 |       1274
    num cache misses                 |       8726 |        263 |        228 |        196
    miss rate                        |     83.88% |     20.39% |     16.27% |     15.38%
    mpki                             |       0.18 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9413 |          0 |          0 |          0
  average dram access latency (ns)   |     545.16 |        inf |        inf |        inf
  average dram queueing delay        |     491.73 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2526 |        192 |        177 |        172
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
