                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |    99425302 |  1096375180 |    25092792 |           0
  Cycles                             |  1667172400 |  1667172400 |  1667172400 |  1667172400
  IPC                                |        0.06 |        0.66 |        0.02 |        0.00
  Time (ns)                          |   416793100 |   416793100 |   416793100 |   416793100
  Idle time (ns)                     |   385492735 |    41233140 |   410511437 |   416793100
  Idle time (%)                      |       92.5% |        9.9% |       98.5% |      100.0%
Branch predictor stats               |             |             |             |            
  num correct                        |     5478808 |    96625287 |     1567408 |           0
  num incorrect                      |      126352 |     1731881 |        7911 |           0
  misprediction rate                 |       2.25% |       1.76% |       0.50% |       0.00%
  mpki                               |        1.27 |        1.58 |        0.32 |        0.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |    11050772 |    91587792 |     2793033 |           0
    num misses                       |         678 |          90 |          84 |           0
    miss rate                        |       0.01% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.01 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |    25399972 |   256854178 |     7844052 |           0
    num misses                       |       10366 |     1088990 |        2354 |           0
    miss rate                        |       0.04% |       0.42% |       0.03% |       0.00%
    mpki                             |        0.10 |        0.99 |        0.09 |        0.00
  L2 TLB                             |             |             |             |            
    num accesses                     |       11044 |     1089080 |        2438 |           0
    num misses                       |        3017 |       62064 |         939 |           0
    miss rate                        |      27.32% |       5.70% |      38.52% |       0.00%
    mpki                             |        0.03 |        0.06 |        0.04 |        0.00
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |    11050772 |    91587792 |     2793033 |           0
    num cache misses                 |       18797 |     1878203 |        4834 |           0
    miss rate                        |       0.17% |       2.05% |       0.17% |        inf%
    mpki                             |        0.19 |        1.71 |        0.19 |         inf
  Cache L1-D                         |             |             |             |            
    num cache accesses               |    25399972 |   256854178 |     7844052 |           0
    num cache misses                 |      375869 |     9003551 |      140042 |           0
    miss rate                        |       1.48% |       3.51% |       1.79% |        inf%
    mpki                             |        3.78 |        8.21 |        5.58 |         inf
  Cache L2                           |             |             |             |            
    num cache accesses               |      409080 |    10881816 |      144884 |           0
    num cache misses                 |      365377 |      884556 |      124258 |           0
    miss rate                        |      89.32% |       8.13% |      85.76% |        inf%
    mpki                             |        3.67 |        0.81 |        4.95 |         inf
  Cache L3                           |             |             |             |            
    num cache accesses               |      380585 |      884618 |      124266 |           0
    num cache misses                 |       58283 |       29847 |       44439 |           0
    miss rate                        |      15.31% |       3.37% |      35.76% |        inf%
    mpki                             |        0.59 |        0.03 |        1.77 |         inf
DRAM summary                         |             |             |             |            
  num dram accesses                  |      134035 |           0 |           0 |           0
  average dram access latency (ns)   |     9530.46 |         inf |         inf |         inf
  average dram queueing delay        |     9477.03 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |       28242 |        4963 |        6311 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
