                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  1320544071 |   139771493 |   139737743 |           0
  Cycles                             |  5276282400 |  5276282400 |  5276282400 |  5276282400
  IPC                                |        0.25 |        0.03 |        0.03 |        0.00
  Time (ns)                          |  1319070600 |  1319070600 |  1319070600 |  1319070600
  Idle time (ns)                     |   176220372 |  1143803021 |  1143709635 |  1319070600
  Idle time (%)                      |       13.4% |       86.7% |       86.7% |      100.0%
Branch predictor stats               |             |             |             |            
  num correct                        |   205985337 |     7828849 |     7814169 |           0
  num incorrect                      |    19486582 |      580697 |      591216 |           0
  misprediction rate                 |       8.64% |       6.91% |       7.03% |       0.00%
  mpki                               |       14.76 |        4.15 |        4.23 |        0.00
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   239311632 |    14002433 |    13999930 |           0
    num misses                       |         239 |          55 |          44 |           0
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   487003907 |    46187160 |    46175153 |           0
    num misses                       |    12278617 |     2928255 |     2926626 |           0
    miss rate                        |       2.52% |       6.34% |       6.34% |       0.00%
    mpki                             |        9.30 |       20.95 |       20.94 |        0.00
  L2 TLB                             |             |             |             |            
    num accesses                     |    12278856 |     2928310 |     2926670 |           0
    num misses                       |     5845382 |     1574743 |     1574625 |           0
    miss rate                        |      47.61% |      53.78% |      53.80% |       0.00%
    mpki                             |        4.43 |       11.27 |       11.27 |        0.00
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   239311632 |    14002433 |    13999930 |           0
    num cache misses                 |     1335132 |       43763 |       43563 |           0
    miss rate                        |       0.56% |       0.31% |       0.31% |        inf%
    mpki                             |        1.01 |        0.31 |        0.31 |         inf
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   487003907 |    46187160 |    46175153 |           0
    num cache misses                 |    15642617 |     2869720 |     2869646 |           0
    miss rate                        |       3.21% |       6.21% |       6.21% |        inf%
    mpki                             |       11.85 |       20.53 |       20.54 |         inf
  Cache L2                           |             |             |             |            
    num cache accesses               |    18255152 |     2913629 |     2913353 |           0
    num cache misses                 |    12893278 |     2639624 |     2639077 |           0
    miss rate                        |      70.63% |      90.60% |      90.59% |        inf%
    mpki                             |        9.76 |       18.89 |       18.89 |         inf
  Cache L3                           |             |             |             |            
    num cache accesses               |    14171931 |     2639770 |     2639221 |           0
    num cache misses                 |     4470772 |      761762 |      760523 |           0
    miss rate                        |      31.55% |      28.86% |      28.82% |        inf%
    mpki                             |        3.39 |        5.45 |        5.44 |         inf
DRAM summary                         |             |             |             |            
  num dram accesses                  |     9361046 |           0 |           0 |           0
  average dram access latency (ns)   |     3165.79 |         inf |         inf |         inf
  average dram queueing delay        |     3112.36 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       5.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |     3646214 |      679701 |      678913 |           0
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
