                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   99439481 |  549848168 |  546552388 |   25092018
  Cycles                             |  828090800 |  828090800 |  828090800 |  828090800
  IPC                                |       0.12 |       0.66 |       0.66 |       0.03
  Time (ns)                          |  207022700 |  207022700 |  207022700 |  207022700
  Idle time (ns)                     |  175156709 |   38435095 |   38799782 |  201352906
  Idle time (%)                      |      84.6% |      18.6% |      18.7% |      97.3%
Branch predictor stats               |            |            |            |           
  num correct                        |    5479920 |   48428629 |   48212216 |    1567460
  num incorrect                      |     126833 |     864529 |     855364 |       7863
  misprediction rate                 |      2.26% |      1.75% |      1.74% |      0.50%
  mpki                               |       1.28 |       1.57 |       1.57 |       0.31
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   11053941 |   45933070 |   45658551 |    2793245
    num misses                       |        657 |         74 |         71 |         83
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   25388523 |  128925726 |  127942423 |    7843663
    num misses                       |      11382 |     548064 |     539905 |       2334
    miss rate                        |      0.04% |      0.43% |      0.42% |      0.03%
    mpki                             |       0.11 |       1.00 |       0.99 |       0.09
  L2 TLB                             |            |            |            |           
    num accesses                     |      12039 |     548138 |     539976 |       2417
    num misses                       |       3060 |      30029 |      29764 |        931
    miss rate                        |     25.42% |      5.48% |      5.51% |     38.52%
    mpki                             |       0.03 |       0.05 |       0.05 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   11053941 |   45933070 |   45658551 |    2793245
    num cache misses                 |      19091 |     900039 |     894477 |       5195
    miss rate                        |      0.17% |      1.96% |      1.96% |      0.19%
    mpki                             |       0.19 |       1.64 |       1.64 |       0.21
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   25388523 |  128925726 |  127942423 |    7843663
    num cache misses                 |     375025 |    4568528 |    4493320 |     140031
    miss rate                        |      1.48% |      3.54% |      3.51% |      1.79%
    mpki                             |       3.77 |       8.31 |       8.22 |       5.58
  Cache L2                           |            |            |            |           
    num cache accesses               |     408551 |    5469666 |    5388450 |     145234
    num cache misses                 |     364301 |     427181 |     370938 |     124097
    miss rate                        |     89.17% |      7.81% |      6.88% |     85.45%
    mpki                             |       3.66 |       0.78 |       0.68 |       4.95
  Cache L3                           |            |            |            |           
    num cache accesses               |     379368 |     428763 |     372448 |     124105
    num cache misses                 |      58499 |      28347 |       2804 |      44439
    miss rate                        |     15.42% |      6.61% |      0.75% |     35.81%
    mpki                             |       0.59 |       0.05 |       0.01 |       1.77
DRAM summary                         |            |            |            |           
  num dram accesses                  |     136304 |          0 |          0 |          0
  average dram access latency (ns)   |   10329.34 |        inf |        inf |        inf
  average dram queueing delay        |   10275.91 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      28578 |       3303 |       2417 |       6263
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
