                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   49850899 |  136104817 |  136135425 |          0
  Cycles                             |  477664800 |  477664800 |  477664800 |  477664800
  IPC                                |       0.10 |       0.28 |       0.29 |       0.00
  Time (ns)                          |  119416200 |  119416200 |  119416200 |  119416200
  Idle time (ns)                     |   90539915 |   28880469 |   29317727 |  119416200
  Idle time (%)                      |      75.8% |      24.2% |      24.6% |     100.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    8264449 |    7790046 |    7795379 |          0
  num incorrect                      |     525115 |     198518 |     194285 |          0
  misprediction rate                 |      5.97% |      2.49% |      2.43% |      0.00%
  mpki                               |      10.53 |       1.46 |       1.43 |       0.00
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    7573443 |   15212671 |   15217107 |          0
    num misses                       |        122 |         25 |         25 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   17195875 |   40028790 |   40035548 |          0
    num misses                       |        945 |         82 |         98 |          0
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |       1067 |        107 |        123 |          0
    num misses                       |        306 |        100 |        103 |          0
    miss rate                        |     28.68% |     93.46% |     83.74% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    7573443 |   15212671 |   15217107 |          0
    num cache misses                 |       2470 |        153 |        154 |          0
    miss rate                        |      0.03% |      0.00% |      0.00% |       inf%
    mpki                             |       0.05 |       0.00 |       0.00 |        inf
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   17195875 |   40028790 |   40035548 |          0
    num cache misses                 |      11028 |     122702 |     124204 |          0
    miss rate                        |      0.06% |      0.31% |      0.31% |       inf%
    mpki                             |       0.22 |       0.90 |       0.91 |        inf
  Cache L2                           |            |            |            |           
    num cache accesses               |      13592 |     122867 |     124369 |          0
    num cache misses                 |      10298 |       1592 |       1617 |          0
    miss rate                        |     75.77% |      1.30% |      1.30% |       inf%
    mpki                             |       0.21 |       0.01 |       0.01 |        inf
  Cache L3                           |            |            |            |           
    num cache accesses               |      10397 |       1604 |       1628 |          0
    num cache misses                 |       8732 |        299 |        358 |          0
    miss rate                        |     83.99% |     18.64% |     21.99% |       inf%
    mpki                             |       0.18 |       0.00 |       0.00 |        inf
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9389 |          0 |          0 |          0
  average dram access latency (ns)   |      67.51 |        inf |        inf |        inf
  average dram queueing delay        |      14.08 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2542 |        228 |        309 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
