CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend                 0.00       0.00       0.00       0.06
depend-int             0.05       0.05       0.05       0.00
depend-fp              0.17       0.22       0.23       0.00
depend-branch          0.02       0.00       0.01       0.00
branch                 0.12       0.08       0.08       0.22
mem-l1d                0.04       0.03       0.03       0.06
sync-unscheduled        0.68       0.65       0.00       3.94
imbalance-start        0.00       0.35       0.19       0.00
imbalance-end          0.07       0.00       0.05       0.08
other                  0.02       0.02       0.01       0.03

total                  1.43       1.65       0.90       4.64
