                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   85722657 |   73882949 |  136134266 |   26349976
  Cycles                             |  122237600 |  122237600 |  122237600 |  122237600
  IPC                                |       0.70 |       0.60 |       1.11 |       0.22
  Time (ns)                          |   30559400 |   30559400 |   30559400 |   30559400
  Idle time (ns)                     |   16175514 |   18414685 |    8037362 |   26532797
  Idle time (%)                      |      52.9% |      60.3% |      26.3% |      86.8%
Branch predictor stats               |            |            |            |           
  num correct                        |    7037394 |    4655466 |    7798630 |    4364538
  num incorrect                      |     336230 |     125084 |     190876 |     259416
  misprediction rate                 |      4.56% |      2.62% |      2.39% |      5.61%
  mpki                               |       3.92 |       1.69 |       1.40 |       9.85
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   10298920 |    8463452 |   15216958 |    4023762
    num misses                       |        119 |         58 |         25 |         56
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   26079487 |   22032783 |   40035071 |    9112393
    num misses                       |        395 |        116 |         95 |         76
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        514 |        174 |        120 |        132
    num misses                       |        307 |        151 |        101 |        129
    miss rate                        |     59.73% |     86.78% |     84.17% |     97.73%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   10298920 |    8463452 |   15216958 |    4023762
    num cache misses                 |       1819 |        614 |        152 |        716
    miss rate                        |      0.02% |      0.01% |      0.00% |      0.02%
    mpki                             |       0.02 |       0.01 |       0.00 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   26079487 |   22032783 |   40035071 |    9112393
    num cache misses                 |      69328 |      63293 |     124184 |       1727
    miss rate                        |      0.27% |      0.29% |      0.31% |      0.02%
    mpki                             |       0.81 |       0.86 |       0.91 |       0.07
  Cache L2                           |            |            |            |           
    num cache accesses               |      71304 |      63933 |     124346 |       2455
    num cache misses                 |      10993 |       3540 |       1600 |       2328
    miss rate                        |     15.42% |      5.54% |      1.29% |     94.83%
    mpki                             |       0.13 |       0.05 |       0.01 |       0.09
  Cache L3                           |            |            |            |           
    num cache accesses               |      11155 |       3566 |       1610 |       2340
    num cache misses                 |       7298 |        320 |        395 |       1375
    miss rate                        |     65.42% |      8.97% |     24.53% |     58.76%
    mpki                             |       0.09 |       0.00 |       0.00 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9387 |          0 |          0 |          0
  average dram access latency (ns)   |     167.31 |        inf |        inf |        inf
  average dram queueing delay        |     113.88 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       2552 |        215 |        323 |         63
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
