                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   99441197 |  547971336 |  548430504 |   25092046
  Cycles                             |  721512400 |  721512400 |  721512400 |  721512400
  IPC                                |       0.14 |       0.76 |       0.76 |       0.03
  Time (ns)                          |  180378100 |  180378100 |  180378100 |  180378100
  Idle time (ns)                     |  159452666 |   26060712 |   26458932 |  175648352
  Idle time (%)                      |      88.4% |      14.4% |      14.7% |      97.4%
Branch predictor stats               |            |            |            |           
  num correct                        |    5479600 |   48286123 |   48351097 |    1567433
  num incorrect                      |     127354 |     861322 |     862373 |       7890
  misprediction rate                 |      2.27% |      1.75% |      1.75% |      0.50%
  mpki                               |       1.28 |       1.57 |       1.57 |       0.31
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   11053984 |   45777592 |   45814171 |    2793245
    num misses                       |        563 |         77 |         71 |         85
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   25391197 |  128470289 |  128398426 |    7843817
    num misses                       |      11548 |     542337 |     545924 |       2319
    miss rate                        |      0.05% |      0.42% |      0.43% |      0.03%
    mpki                             |       0.12 |       0.99 |       1.00 |       0.09
  L2 TLB                             |            |            |            |           
    num accesses                     |      12111 |     542414 |     545995 |       2404
    num misses                       |       3069 |      36047 |      36131 |        938
    miss rate                        |     25.34% |      6.65% |      6.62% |     39.02%
    mpki                             |       0.03 |       0.07 |       0.07 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   11053984 |   45777592 |   45814171 |    2793245
    num cache misses                 |      19163 |     940807 |     940457 |       5101
    miss rate                        |      0.17% |      2.06% |      2.05% |      0.18%
    mpki                             |       0.19 |       1.72 |       1.71 |       0.20
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   25391197 |  128470289 |  128398426 |    7843817
    num cache misses                 |     375048 |    4546245 |    4507919 |     140033
    miss rate                        |      1.48% |      3.54% |      3.51% |      1.79%
    mpki                             |       3.77 |       8.30 |       8.22 |       5.58
  Cache L2                           |            |            |            |           
    num cache accesses               |     408705 |    5491830 |    5449581 |     145150
    num cache misses                 |     364211 |     428777 |     398825 |     124116
    miss rate                        |     89.11% |      7.81% |      7.32% |     85.51%
    mpki                             |       3.66 |       0.78 |       0.73 |       4.95
  Cache L3                           |            |            |            |           
    num cache accesses               |     379270 |     433875 |     401364 |     124132
    num cache misses                 |      58511 |      28294 |       2840 |      44439
    miss rate                        |     15.43% |      6.52% |      0.71% |     35.80%
    mpki                             |       0.59 |       0.05 |       0.01 |       1.77
DRAM summary                         |            |            |            |           
  num dram accesses                  |     135516 |          0 |          0 |          0
  average dram access latency (ns)   |   10297.11 |        inf |        inf |        inf
  average dram queueing delay        |   10243.68 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      28610 |       3309 |       2449 |       6278
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
