                                     | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                       |  1320547042 |    93082978 |    93104142 |    93083960
  Cycles                             |  3826921200 |  3826921200 |  3826921200 |  3826921200
  IPC                                |        0.35 |        0.02 |        0.02 |        0.02
  Time (ns)                          |   956730300 |   956730300 |   956730300 |   956730300
  Idle time (ns)                     |    78377003 |   879064686 |   879000118 |   878974110
  Idle time (%)                      |        8.2% |       91.9% |       91.9% |       91.9%
Branch predictor stats               |             |             |             |            
  num correct                        |   206114882 |     5208873 |     5207041 |     5208367
  num incorrect                      |    19357135 |      390076 |      393212 |      394197
  misprediction rate                 |       8.59% |       6.97% |       7.02% |       7.04%
  mpki                               |       14.66 |        4.19 |        4.22 |        4.23
TLB Summary                          |             |             |             |            
  I-TLB                              |             |             |             |            
    num accesses                     |   239312467 |     9328034 |     9330001 |     9327752
    num misses                       |         238 |          54 |          54 |          55
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |            
    num accesses                     |   487005534 |    30759997 |    30764790 |    30758834
    num misses                       |    12535406 |     2063672 |     2070588 |     2044472
    miss rate                        |       2.57% |       6.71% |       6.73% |       6.65%
    mpki                             |        9.49 |       22.17 |       22.24 |       21.96
  L2 TLB                             |             |             |             |            
    num accesses                     |    12535644 |     2063726 |     2070642 |     2044527
    num misses                       |     5874264 |     1051465 |     1051977 |     1050346
    miss rate                        |      46.86% |      50.95% |      50.80% |      51.37%
    mpki                             |        4.45 |       11.30 |       11.30 |       11.28
Cache Summary                        |             |             |             |            
  Cache L1-I                         |             |             |             |            
    num cache accesses               |   239312467 |     9328034 |     9330001 |     9327752
    num cache misses                 |      582797 |       29110 |       29126 |       29498
    miss rate                        |       0.24% |       0.31% |       0.31% |       0.32%
    mpki                             |        0.44 |        0.31 |        0.31 |        0.32
  Cache L1-D                         |             |             |             |            
    num cache accesses               |   487005534 |    30759997 |    30764790 |    30758834
    num cache misses                 |    15602700 |     1910734 |     1911751 |     1910832
    miss rate                        |       3.20% |       6.21% |       6.21% |       6.21%
    mpki                             |       11.82 |       20.53 |       20.53 |       20.53
  Cache L2                           |             |             |             |            
    num cache accesses               |    17462813 |     1940102 |     1941111 |     1940598
    num cache misses                 |    12922543 |     1756801 |     1758441 |     1758142
    miss rate                        |      74.00% |      90.55% |      90.59% |      90.60%
    mpki                             |        9.79 |       18.87 |       18.89 |       18.89
  Cache L3                           |             |             |             |            
    num cache accesses               |    14201097 |     1757059 |     1758675 |     1758410
    num cache misses                 |     4471357 |      507165 |      507995 |      507907
    miss rate                        |      31.49% |      28.86% |      28.89% |      28.88%
    mpki                             |        3.39 |        5.45 |        5.46 |        5.46
DRAM summary                         |             |             |             |            
  num dram accesses                  |     9364608 |           0 |           0 |           0
  average dram access latency (ns)   |    10290.36 |         inf |         inf |         inf
  average dram queueing delay        |    10236.93 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       8.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |            
  num loads from dram                |     3645028 |      452320 |      453203 |      453258
  num loads from dram cache          |           0 |           0 |           0 |           0
  num loads from remote cache        |           0 |           0 |           0 |           0
