                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11669116 |  410035394 |  422210133 |  416691929
  Cycles                             |  699455600 |  699455600 |  699455600 |  699455600
  IPC                                |       0.02 |       0.59 |       0.60 |       0.60
  Time (ns)                          |  174863900 |  174863900 |  174863900 |  174863900
  Idle time (ns)                     |  172237568 |    2829448 |    3381211 |    3395156
  Idle time (%)                      |      98.5% |       1.6% |       1.9% |       1.9%
Branch predictor stats               |            |            |            |           
  num correct                        |     827474 |   36364167 |   39614275 |   38352299
  num incorrect                      |      19473 |     327776 |     300177 |     298081
  misprediction rate                 |      2.30% |      0.89% |      0.75% |      0.77%
  mpki                               |       1.67 |       0.80 |       0.71 |       0.72
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1660451 |   37507367 |   36955280 |   36982181
    num misses                       |        183 |         44 |         36 |         36
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4799841 |  151699281 |  157029922 |  154547961
    num misses                       |       4883 |    1046354 |    1053668 |    1018764
    miss rate                        |      0.10% |      0.69% |      0.67% |      0.66%
    mpki                             |       0.42 |       2.55 |       2.50 |       2.44
  L2 TLB                             |            |            |            |           
    num accesses                     |       5066 |    1046398 |    1053704 |    1018800
    num misses                       |        806 |      30825 |      26059 |      23762
    miss rate                        |     15.91% |      2.95% |      2.47% |      2.33%
    mpki                             |       0.07 |       0.08 |       0.06 |       0.06
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1660451 |   37507367 |   36955280 |   36982181
    num cache misses                 |       3550 |     114244 |      64890 |      75531
    miss rate                        |      0.21% |      0.30% |      0.18% |      0.20%
    mpki                             |       0.30 |       0.28 |       0.15 |       0.18
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4799841 |  151699281 |  157029922 |  154547961
    num cache misses                 |      47734 |    6368947 |    6570124 |    6556368
    miss rate                        |      0.99% |      4.20% |      4.18% |      4.24%
    mpki                             |       4.09 |      15.53 |      15.56 |      15.73
  Cache L2                           |            |            |            |           
    num cache accesses               |      58261 |    6524749 |    6927489 |    6905994
    num cache misses                 |      41631 |    3914730 |    3914007 |    3997331
    miss rate                        |     71.46% |     60.00% |     56.50% |     57.88%
    mpki                             |       3.57 |       9.55 |       9.27 |       9.59
  Cache L3                           |            |            |            |           
    num cache accesses               |      48613 |    3956324 |    4206552 |    4271427
    num cache misses                 |      22779 |        631 |        161 |        170
    miss rate                        |     46.86% |      0.02% |      0.00% |      0.00%
    mpki                             |       1.95 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |      23726 |          0 |          0 |          0
  average dram access latency (ns)   |      66.93 |        inf |        inf |        inf
  average dram queueing delay        |      13.50 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      14742 |        186 |         26 |         37
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
